,MIKAEL SAMUELSSON,BRIAN CAMPBELL,STEPHEN WEISS,KRIS VERSTEEG,TOMAS FLEISCHMANN
MIKAEL SAMUELSSON,0.0,8.0,14.0,2.0,4.0
BRIAN CAMPBELL,8.0,0.0,14.0,16.0,10.0
STEPHEN WEISS,14.0,14.0,0.0,27.0,43.0
KRIS VERSTEEG,2.0,16.0,27.0,0.0,33.0
TOMAS FLEISCHMANN,4.0,10.0,43.0,33.0,0.0
