,BRAD MARCHAND,MILAN LUCIC,DAVID KREJCI,TYLER SEGUIN,PATRICE BERGERON
BRAD MARCHAND,0.0,0.0,1.0,34.0,34.0
MILAN LUCIC,0.0,0.0,45.0,15.0,5.0
DAVID KREJCI,1.0,45.0,0.0,18.0,3.0
TYLER SEGUIN,34.0,15.0,18.0,0.0,47.0
PATRICE BERGERON,34.0,5.0,3.0,47.0,0.0
