,VINCENT LECAVALIER,RYAN MALONE,TEDDY PURCELL,MARTIN ST. LOUIS,STEVEN STAMKOS
VINCENT LECAVALIER,0.0,11.0,8.0,25.0,17.0
RYAN MALONE,11.0,0.0,16.0,5.0,25.0
TEDDY PURCELL,8.0,16.0,0.0,24.0,38.0
MARTIN ST. LOUIS,25.0,5.0,24.0,0.0,47.0
STEVEN STAMKOS,17.0,25.0,38.0,47.0,0.0
