,RYAN SMYTH,RYAN NUGENT-HOPKINS,TAYLOR HALL,SAM GAGNER,JORDAN EBERLE
RYAN SMYTH,0.0,5.0,4.0,8.0,15.0
RYAN NUGENT-HOPKINS,5.0,0.0,22.0,6.0,40.0
TAYLOR HALL,4.0,22.0,0.0,10.0,27.0
SAM GAGNER,8.0,6.0,10.0,0.0,26.0
JORDAN EBERLE,15.0,40.0,27.0,26.0,0.0
