,CHAD LAROSE,BRANDON SUTTER,JUSSI JOKINEN,JEFF SKINNER,ERIC STAAL
CHAD LAROSE,0.0,1.0,6.0,8.0,7.0
BRANDON SUTTER,1.0,0.0,1.0,2.0,1.0
JUSSI JOKINEN,6.0,1.0,0.0,15.0,9.0
JEFF SKINNER,8.0,2.0,15.0,0.0,15.0
ERIC STAAL,7.0,1.0,9.0,15.0,0.0
