,DAVID JONES,MILAN HEJDUK,GABRIEL LANDESKOG,PAUL STASTNY,RYAN O'REILLY
DAVID JONES,0.0,8.0,2.0,18.0,4.0
MILAN HEJDUK,8.0,0.0,13.0,9.0,10.0
GABRIEL LANDESKOG,2.0,13.0,0.0,13.0,27.0
PAUL STASTNY,18.0,9.0,13.0,0.0,4.0
RYAN O'REILLY,4.0,10.0,27.0,4.0,0.0
