,FRANS NIELSEN,KYLE OKPOSO,PA PARENTEAU,MATT MOULSON,JOHN TAVARES
FRANS NIELSEN,0.0,11.0,19.0,9.0,8.0
KYLE OKPOSO,11.0,0.0,0.0,11.0,22.0
PA PARENTEAU,19.0,0.0,0.0,37.0,34.0
MATT MOULSON,9.0,11.0,37.0,0.0,65.0
JOHN TAVARES,8.0,22.0,34.0,65.0,0.0
