,JAKE GUENTZEL,PATRIC HORNQVIST,SIDNEY CROSBY,PHIL KESSEL,EVGENI MALKIN
JAKE GUENTZEL,0.0,4.0,26.0,22.0,9.0
PATRIC HORNQVIST,4.0,0.0,26.0,23.0,26.0
SIDNEY CROSBY,26.0,26.0,0.0,35.0,28.0
PHIL KESSEL,22.0,23.0,35.0,0.0,63.0
EVGENI MALKIN,9.0,26.0,28.0,63.0,0.0
