,NAZEM KADRI,JAMES VAN RIEMSDYK,WILLIAM NYLANDER,MITCHELL MARNER,AUSTON MATTHEWS
NAZEM KADRI,0.0,13.0,5.0,36.0,2.0
JAMES VAN RIEMSDYK,13.0,0.0,4.0,27.0,3.0
WILLIAM NYLANDER,5.0,4.0,0.0,4.0,48.0
MITCHELL MARNER,36.0,27.0,4.0,0.0,3.0
AUSTON MATTHEWS,2.0,3.0,48.0,3.0,0.0
