,KEVIN FIALA,VIKTOR ARVIDSSON,CRAIG SMITH,PK SUBBAN,FILIP FORSBERG
KEVIN FIALA,0.0,7.0,20.0,9.0,5.0
VIKTOR ARVIDSSON,7.0,0.0,4.0,12.0,27.0
CRAIG SMITH,20.0,4.0,0.0,16.0,13.0
PK SUBBAN,9.0,12.0,16.0,0.0,13.0
FILIP FORSBERG,5.0,27.0,13.0,13.0,0.0
