,DAVID KREJCI,TOREY KRUG,PATRICE BERGERON,DAVID PASTRNAK,BRAD MARCHAND
DAVID KREJCI,0.0,3.0,4.0,4.0,4.0
TOREY KRUG,3.0,0.0,15.0,27.0,21.0
PATRICE BERGERON,4.0,15.0,0.0,48.0,50.0
DAVID PASTRNAK,4.0,27.0,48.0,0.0,49.0
BRAD MARCHAND,4.0,21.0,50.0,49.0,0.0
