,ALEXANDER KERFOOT,TYSON BARRIE,GABRIEL LANDESKOG,MIKKO RANTANEN,NATHAN MACKINNON
ALEXANDER KERFOOT,0.0,10.0,1.0,6.0,12.0
TYSON BARRIE,10.0,0.0,14.0,32.0,29.0
GABRIEL LANDESKOG,1.0,14.0,0.0,29.0,46.0
MIKKO RANTANEN,6.0,32.0,29.0,0.0,60.0
NATHAN MACKINNON,12.0,29.0,46.0,60.0,0.0
