,EVANDER KANE,KYLE OKPOSO,SAM REINHART,JACK EICHEL,RYAN O'REILLY
EVANDER KANE,0.0,7.0,5.0,23.0,10.0
KYLE OKPOSO,7.0,0.0,8.0,15.0,20.0
SAM REINHART,5.0,8.0,0.0,14.0,27.0
JACK EICHEL,23.0,15.0,14.0,0.0,20.0
RYAN O'REILLY,10.0,20.0,27.0,20.0,0.0
