,MILES WOOD,JESPER BRATT,KYLE PALMIERI,NICO HISCHIER,TAYLOR HALL
MILES WOOD,0.0,4.0,3.0,6.0,7.0
JESPER BRATT,4.0,0.0,2.0,9.0,19.0
KYLE PALMIERI,3.0,2.0,0.0,11.0,41.0
NICO HISCHIER,6.0,9.0,11.0,0.0,29.0
TAYLOR HALL,7.0,19.0,41.0,29.0,0.0
