,ELIAS LINDHOLM,JUSTIN WILLIAMS,JEFF SKINNER,TEUVO TERAVAINEN,SEBASTIAN AHO
ELIAS LINDHOLM,0.0,3.0,7.0,16.0,14.0
JUSTIN WILLIAMS,3.0,0.0,15.0,5.0,1.0
JEFF SKINNER,7.0,15.0,0.0,2.0,2.0
TEUVO TERAVAINEN,16.0,5.0,2.0,0.0,51.0
SEBASTIAN AHO,14.0,1.0,2.0,51.0,0.0
