,RYAN SUTER,MATT DUMBA,MIKAEL GRANLUND,JASON ZUCKER,ERIC STAAL
RYAN SUTER,0.0,8.0,17.0,10.0,22.0
MATT DUMBA,8.0,0.0,7.0,18.0,18.0
MIKAEL GRANLUND,17.0,7.0,0.0,27.0,25.0
JASON ZUCKER,10.0,18.0,27.0,0.0,29.0
ERIC STAAL,22.0,18.0,25.0,29.0,0.0
