,MATHIEU PERREAULT,BRYAN LITTLE,KYLE CONNOR,MARK SCHEIFELE,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER
MATHIEU PERREAULT,0.0,16.0,2.0,3.0,10.0,6.0,8.0
BRYAN LITTLE,0.0,0.0,7.0,0.0,18.0,12.0,0.0
KYLE CONNOR,0.0,0.0,0.0,23.0,0.0,14.0,47.0
MARK SCHEIFELE,0.0,0.0,0.0,0.0,9.0,12.0,46.0
NIKOLAJ EHLERS,0.0,0.0,0.0,0.0,0.0,28.0,15.0
PATRIK LAINE,0.0,0.0,0.0,0.0,0.0,0.0,39.0
BLAKE WHEELER,0.0,0.0,0.0,0.0,0.0,0.0,0.0
