,TJ OSHIE,JOHN CARLSON,NICKLAS BACKSTROM,EVGENY KUZNETSOV,ALEX OVECHKIN
TJ OSHIE,0.0,14.0,26.0,24.0,10.0
JOHN CARLSON,14.0,0.0,15.0,28.0,47.0
NICKLAS BACKSTROM,26.0,15.0,0.0,17.0,36.0
EVGENY KUZNETSOV,24.0,28.0,17.0,0.0,39.0
ALEX OVECHKIN,10.0,47.0,36.0,39.0,0.0
