,PAT MAROON,RYAN STROME,RYAN NUGENT-HOPKINS,LEON DRAISAITL,CONNOR MCDAVID
PAT MAROON,0.0,0.0,9.0,11.0,17.0
RYAN STROME,0.0,0.0,3.0,10.0,6.0
RYAN NUGENT-HOPKINS,9.0,3.0,0.0,7.0,23.0
LEON DRAISAITL,11.0,10.0,7.0,0.0,48.0
CONNOR MCDAVID,17.0,6.0,23.0,48.0,0.0
