,MATTIAS JANMARK,JOHN KLINGBERG,JAMIE BENN,ALEXANDER RADULOV,TYLER SEGUIN
MATTIAS JANMARK,0.0,13.0,3.0,8.0,12.0
JOHN KLINGBERG,13.0,0.0,27.0,13.0,27.0
JAMIE BENN,3.0,27.0,0.0,37.0,42.0
ALEXANDER RADULOV,8.0,13.0,37.0,0.0,43.0
TYLER SEGUIN,12.0,27.0,42.0,43.0,0.0
