,BRANDON SAAD,NICK SCHMALTZ,JONATHAN TOEWS,ALEX DEBRINCAT,PATRICK KANE
BRANDON SAAD,0.0,5.0,26.0,5.0,11.0
NICK SCHMALTZ,5.0,0.0,0.0,11.0,31.0
JONATHAN TOEWS,26.0,0.0,0.0,11.0,14.0
ALEX DEBRINCAT,5.0,11.0,11.0,0.0,4.0
PATRICK KANE,11.0,31.0,14.0,4.0,0.0
