,ALEX TUCH,JAMES NEAL,ERIK HAULA,REILLY SMITH,DAVID PERRON,WILLIAM KARLSSON,JONATHAN MARCHESSAULT
ALEX TUCH,0.0,0.0,6.0,3.0,2.0,15.0,8.0
JAMES NEAL,0.0,0.0,24.0,2.0,29.0,3.0,5.0
ERIK HAULA,0.0,0.0,0.0,0.0,42.0,0.0,12.0
REILLY SMITH,0.0,0.0,0.0,0.0,1.0,49.0,37.0
DAVID PERRON,0.0,0.0,0.0,0.0,0.0,2.0,6.0
WILLIAM KARLSSON,0.0,0.0,0.0,0.0,0.0,0.0,47.0
JONATHAN MARCHESSAULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
