,JORDAN EBERLE,JOSH BAILEY,ANDERS LEE,MATHEW BARZAL,JOHN TAVARES
JORDAN EBERLE,0.0,2.0,4.0,45.0,11.0
JOSH BAILEY,2.0,0.0,34.0,18.0,36.0
ANDERS LEE,4.0,34.0,0.0,17.0,55.0
MATHEW BARZAL,45.0,18.0,17.0,0.0,13.0
JOHN TAVARES,11.0,36.0,55.0,13.0,0.0
