,SVEN BAERTSCHI,THOMAS VANEK,BO HORVAT,BROCK BOESER,DANIEL SEDIN
SVEN BAERTSCHI,0.0,10.0,13.0,17.0,0.0
THOMAS VANEK,10.0,0.0,3.0,13.0,13.0
BO HORVAT,13.0,3.0,0.0,27.0,8.0
BROCK BOESER,17.0,13.0,27.0,0.0,21.0
DANIEL SEDIN,0.0,13.0,8.0,21.0,0.0
