,RYAN DZINGEL,MARK STONE,ERIK KARLSSON,MIKE HOFFMAN,KYLE TURRIS
RYAN DZINGEL,0.0,4.0,7.0,0.0,14.0
MARK STONE,4.0,0.0,16.0,24.0,12.0
ERIK KARLSSON,7.0,16.0,0.0,19.0,18.0
MIKE HOFFMAN,0.0,24.0,19.0,0.0,29.0
KYLE TURRIS,14.0,12.0,18.0,29.0,0.0
