,JUSTIN FAULK,LEE STEMPNIAK,SEBASTIAN AHO,ELIAS LINDHOLM,JEFF SKINNER
JUSTIN FAULK,0.0,6.0,13.0,10.0,5.0
LEE STEMPNIAK,6.0,0.0,9.0,0.0,25.0
SEBASTIAN AHO,13.0,9.0,0.0,18.0,3.0
ELIAS LINDHOLM,10.0,0.0,18.0,0.0,6.0
JEFF SKINNER,5.0,25.0,3.0,6.0,0.0
