,PATRICK EAVES,JASON SPEZZA,JOHN KLINGBERG,JAMIE BENN,TYLER SEGUIN
PATRICK EAVES,0.0,8.0,8.0,21.0,20.0
JASON SPEZZA,8.0,0.0,10.0,17.0,24.0
JOHN KLINGBERG,8.0,10.0,0.0,18.0,19.0
JAMIE BENN,21.0,17.0,18.0,0.0,44.0
TYLER SEGUIN,20.0,24.0,19.0,44.0,0.0
