,TYLER TOFFOLI,DREW DOUGHTY,ANZE KOPITAR,TANNER PEARSON,JEFF CARTER
TYLER TOFFOLI,0.0,12.0,12.0,8.0,24.0
DREW DOUGHTY,12.0,0.0,15.0,2.0,21.0
ANZE KOPITAR,12.0,15.0,0.0,7.0,14.0
TANNER PEARSON,8.0,2.0,7.0,0.0,31.0
JEFF CARTER,24.0,21.0,14.0,31.0,0.0
