,BRAYDEN POINT,ONDREJ PALAT,JONATHAN DROUIN,VICTOR HEDMAN,NIKITA KUCHEROV
BRAYDEN POINT,0.0,15.0,5.0,13.0,12.0
ONDREJ PALAT,15.0,0.0,9.0,13.0,24.0
JONATHAN DROUIN,5.0,9.0,0.0,14.0,25.0
VICTOR HEDMAN,13.0,13.0,14.0,0.0,39.0
NIKITA KUCHEROV,12.0,24.0,25.0,39.0,0.0
