,JASON ZUCKER,CHARLIE COYLE,NINO NIEDERREITER,ERIC STAAL,MIKAEL GRANLUND
JASON ZUCKER,0.0,4.0,0.0,0.0,31.0
CHARLIE COYLE,4.0,0.0,16.0,30.0,0.0
NINO NIEDERREITER,0.0,16.0,0.0,22.0,20.0
ERIC STAAL,0.0,30.0,22.0,0.0,7.0
MIKAEL GRANLUND,31.0,0.0,20.0,7.0,0.0
