,KEITH YANDLE,JAROMIR JAGR,JONATHAN MARCHESSAULT,VINCENT TROCHECK,ALEKSANDER BARKOV
KEITH YANDLE,0.0,12.0,14.0,10.0,6.0
JAROMIR JAGR,12.0,0.0,16.0,12.0,29.0
JONATHAN MARCHESSAULT,14.0,16.0,0.0,10.0,19.0
VINCENT TROCHECK,10.0,12.0,10.0,0.0,0.0
ALEKSANDER BARKOV,6.0,29.0,19.0,0.0,0.0
