,PHILLIP DANAULT,ALEX GALCHENYUK,PAUL BYRON,ALEXANDER RADULOV,MAX PACIORETTY
PHILLIP DANAULT,0.0,0.0,4.0,11.0,19.0
ALEX GALCHENYUK,0.0,0.0,6.0,20.0,15.0
PAUL BYRON,4.0,6.0,0.0,9.0,2.0
ALEXANDER RADULOV,11.0,20.0,9.0,0.0,33.0
MAX PACIORETTY,19.0,15.0,2.0,33.0,0.0
