,MARTIN HANZAL,TOBIAS RIEDER,CHRISTIAN DVORAK,MAX DOMI,RADIM VRBATA
MARTIN HANZAL,0.0,6.0,0.0,12.0,25.0
TOBIAS RIEDER,6.0,0.0,0.0,2.0,9.0
CHRISTIAN DVORAK,0.0,0.0,0.0,8.0,2.0
MAX DOMI,12.0,2.0,8.0,0.0,19.0
RADIM VRBATA,25.0,9.0,2.0,19.0,0.0
