,ALEXANDER WENNBERG,NICK FOLIGNO,SAM GAGNER,BRANDON SAAD,CAM ATKINSON
ALEXANDER WENNBERG,0.0,27.0,7.0,21.0,10.0
NICK FOLIGNO,27.0,0.0,12.0,26.0,13.0
SAM GAGNER,7.0,12.0,0.0,3.0,24.0
BRANDON SAAD,21.0,26.0,3.0,0.0,4.0
CAM ATKINSON,10.0,13.0,24.0,4.0,0.0
