,MATHIEU PERREAULT,DUSTIN BYFUGLIEN,BRYAN LITTLE,NIKOLAJ EHLERS,PATRIK LAINE,BLAKE WHEELER,MARK SCHEIFELE
MATHIEU PERREAULT,0.0,11.0,12.0,0.0,18.0,22.0,16.0
DUSTIN BYFUGLIEN,0.0,0.0,13.0,9.0,19.0,18.0,11.0
BRYAN LITTLE,0.0,0.0,0.0,12.0,18.0,24.0,2.0
NIKOLAJ EHLERS,0.0,0.0,0.0,0.0,29.0,16.0,24.0
PATRIK LAINE,0.0,0.0,0.0,0.0,0.0,6.0,46.0
BLAKE WHEELER,0.0,0.0,0.0,0.0,0.0,0.0,29.0
MARK SCHEIFELE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
