,JOE THORNTON,PATRICK MARLEAU,LOGAN COUTURE,JOE PAVELSKI,BRENT BURNS
JOE THORNTON,0.0,7.0,7.0,19.0,14.0
PATRICK MARLEAU,7.0,0.0,15.0,14.0,25.0
LOGAN COUTURE,7.0,15.0,0.0,24.0,24.0
JOE PAVELSKI,19.0,14.0,24.0,0.0,40.0
BRENT BURNS,14.0,25.0,24.0,40.0,0.0
