,NICOLAS ROY,CHANDLER STEPHENSON,SHEA THEODORE,EVGENY DADONOV,JONATHAN MARCHESSAULT
NICOLAS ROY,0.0,2.0,15.0,7.0,14.0
CHANDLER STEPHENSON,2.0,0.0,9.0,12.0,10.0
SHEA THEODORE,15.0,9.0,0.0,13.0,5.0
EVGENY DADONOV,7.0,12.0,13.0,0.0,6.0
JONATHAN MARCHESSAULT,14.0,10.0,5.0,6.0,0.0
