,JOSH ANDERSON,CHRISTIAN DVORAK,MIKE HOFFMAN,COLE CAUFIELD,NICK SUZUKI
JOSH ANDERSON,0.0,10.0,1.0,9.0,10.0
CHRISTIAN DVORAK,10.0,0.0,5.0,1.0,4.0
MIKE HOFFMAN,1.0,5.0,0.0,9.0,12.0
COLE CAUFIELD,9.0,1.0,9.0,0.0,25.0
NICK SUZUKI,10.0,4.0,12.0,25.0,0.0
