,MORITZ SEIDER,PIUS SUTER,LUCAS RAYMOND,TYLER BERTUZZI,DYLAN LARKIN
MORITZ SEIDER,0.0,6.0,10.0,17.0,15.0
PIUS SUTER,6.0,0.0,2.0,13.0,1.0
LUCAS RAYMOND,10.0,2.0,0.0,23.0,45.0
TYLER BERTUZZI,17.0,13.0,23.0,0.0,17.0
DYLAN LARKIN,15.0,1.0,45.0,17.0,0.0
