,JOSH BAILEY,NOAH DOBSON,ANDERS LEE,MATHEW BARZAL,BROCK NELSON
JOSH BAILEY,0.0,7.0,5.0,7.0,11.0
NOAH DOBSON,7.0,0.0,16.0,17.0,16.0
ANDERS LEE,5.0,16.0,0.0,23.0,19.0
MATHEW BARZAL,7.0,17.0,23.0,0.0,11.0
BROCK NELSON,11.0,16.0,19.0,11.0,0.0
