,JONATHAN TOEWS,BRANDON HAGEL,DYLAN STROME,ALEX DEBRINCAT,PATRICK KANE
JONATHAN TOEWS,0.0,10.0,0.0,6.0,9.0
BRANDON HAGEL,10.0,0.0,10.0,10.0,12.0
DYLAN STROME,0.0,10.0,0.0,29.0,36.0
ALEX DEBRINCAT,6.0,10.0,29.0,0.0,64.0
PATRICK KANE,9.0,12.0,36.0,64.0,0.0
