,ANDREW COPP,PAUL STASTNY,BLAKE WHEELER,NIKOLAJ EHLERS,PIERRE-LUC DUBOIS,MARK SCHEIFELE,KYLE CONNOR
ANDREW COPP,0.0,11.0,3.0,11.0,5.0,8.0,11.0
PAUL STASTNY,0.0,0.0,15.0,24.0,0.0,13.0,7.0
BLAKE WHEELER,0.0,0.0,0.0,5.0,12.0,25.0,21.0
NIKOLAJ EHLERS,0.0,0.0,0.0,0.0,13.0,19.0,16.0
PIERRE-LUC DUBOIS,0.0,0.0,0.0,0.0,0.0,16.0,48.0
MARK SCHEIFELE,0.0,0.0,0.0,0.0,0.0,0.0,26.0
KYLE CONNOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
