,TREVOR MOORE,VIKTOR ARVIDSSON,PHILLIP DANAULT,ADRIAN KEMPE,ANZE KOPITAR
TREVOR MOORE,0.0,9.0,13.0,1.0,0.0
VIKTOR ARVIDSSON,9.0,0.0,20.0,0.0,10.0
PHILLIP DANAULT,13.0,20.0,0.0,3.0,0.0
ADRIAN KEMPE,1.0,0.0,3.0,0.0,25.0
ANZE KOPITAR,0.0,10.0,0.0,25.0,0.0
