,RYAN JOHANSEN,MIKAEL GRANLUND,ROMAN JOSI,MATT DUCHENE,FILIP FORSBERG
RYAN JOHANSEN,0.0,11.0,28.0,28.0,28.0
MIKAEL GRANLUND,11.0,0.0,14.0,32.0,32.0
ROMAN JOSI,28.0,14.0,0.0,36.0,33.0
MATT DUCHENE,28.0,32.0,36.0,0.0,62.0
FILIP FORSBERG,28.0,32.0,33.0,62.0,0.0
