,CONOR SHEARY,TOM WILSON,JOHN CARLSON,EVGENY KUZNETSOV,ALEX OVECHKIN
CONOR SHEARY,0.0,4.0,10.0,6.0,12.0
TOM WILSON,4.0,0.0,16.0,21.0,26.0
JOHN CARLSON,10.0,16.0,0.0,20.0,30.0
EVGENY KUZNETSOV,6.0,21.0,20.0,0.0,53.0
ALEX OVECHKIN,12.0,26.0,30.0,53.0,0.0
