,JAMIE BENN,TYLER SEGUIN,ROOPE HINTZ,JOE PAVELSKI,JASON ROBERTSON
JAMIE BENN,0.0,19.0,1.0,4.0,3.0
TYLER SEGUIN,19.0,0.0,3.0,14.0,5.0
ROOPE HINTZ,1.0,3.0,0.0,53.0,63.0
JOE PAVELSKI,4.0,14.0,53.0,0.0,49.0
JASON ROBERTSON,3.0,5.0,63.0,49.0,0.0
