,BRAYDEN SCHENN,PAVEL BUCHNEVICH,ROBERT THOMAS,JORDAN KYROU,VLADIMIR TARASENKO
BRAYDEN SCHENN,0.0,9.0,0.0,19.0,13.0
PAVEL BUCHNEVICH,9.0,0.0,32.0,28.0,36.0
ROBERT THOMAS,0.0,32.0,0.0,20.0,45.0
JORDAN KYROU,19.0,28.0,20.0,0.0,14.0
VLADIMIR TARASENKO,13.0,36.0,45.0,14.0,0.0
