,RICKARD RAKELL,SONNY MILANO,ADAM HENRIQUE,TREVOR ZEGRAS,TROY TERRY
RICKARD RAKELL,0.0,12.0,6.0,19.0,2.0
SONNY MILANO,12.0,0.0,6.0,22.0,6.0
ADAM HENRIQUE,6.0,6.0,0.0,9.0,19.0
TREVOR ZEGRAS,19.0,22.0,9.0,0.0,14.0
TROY TERRY,2.0,6.0,19.0,14.0,0.0
