,JAKE DEBRUSK,PATRICE BERGERON,TAYLOR HALL,BRAD MARCHAND,DAVID PASTRNAK
JAKE DEBRUSK,0.0,14.0,1.0,21.0,0.0
PATRICE BERGERON,14.0,0.0,13.0,43.0,33.0
TAYLOR HALL,1.0,13.0,0.0,8.0,47.0
BRAD MARCHAND,21.0,43.0,8.0,0.0,31.0
DAVID PASTRNAK,0.0,33.0,47.0,31.0,0.0
