,NIKITA KUCHEROV,COREY PERRY,ALEX KILLORN,VICTOR HEDMAN,STEVEN STAMKOS
NIKITA KUCHEROV,0.0,4.0,4.0,19.0,26.0
COREY PERRY,4.0,0.0,4.0,8.0,4.0
ALEX KILLORN,4.0,4.0,0.0,8.0,18.0
VICTOR HEDMAN,19.0,8.0,8.0,0.0,17.0
STEVEN STAMKOS,26.0,4.0,18.0,17.0,0.0
