,MICHAEL BUNTING,JOHN TAVARES,WILLIAM NYLANDER,MITCHELL MARNER,AUSTON MATTHEWS
MICHAEL BUNTING,0.0,2.0,3.0,36.0,47.0
JOHN TAVARES,2.0,0.0,43.0,32.0,17.0
WILLIAM NYLANDER,3.0,43.0,0.0,19.0,32.0
MITCHELL MARNER,36.0,32.0,19.0,0.0,55.0
AUSTON MATTHEWS,47.0,17.0,32.0,55.0,0.0
