Rk,Name,Team,Age,Pos,GP,G,A,P
1,Evgeni Malkin,PIT,25,F,75,50,59,109
2,Steven Stamkos,TBL,21,F,82,60,37,97
3,Claude Giroux,PHI,23,F,77,28,65,93
4,Jason Spezza,OTT,28,F,80,34,50,84
5,Ilya Kovalchuk,NJD,28,F,77,37,46,83
6,Phil Kessel,TOR,24,F,82,37,45,82
7,James Neal,PIT,24,F,80,40,41,81
8,John Tavares,NYI,21,F,82,31,50,81
9,Henrik Sedin,VAN,31,F,82,14,67,81
10,Patrik Elias,NJD,35,F,81,26,52,78
11,Erik Karlsson,OTT,21,D,81,19,59,78
12,Marian Hossa,CHI,32,F,81,29,48,77
13,Ray Whitney,PHX,39,F,82,24,53,77
14,Joe Thornton,SJS,32,F,82,18,59,77
15,Marian Gaborik,NYR,29,F,82,41,35,76
16,Jordan Eberle,EDM,21,F,78,34,42,76
17,Anze Kopitar,LAK,24,F,82,25,51,76
18,Martin St. Louis,TBL,36,F,77,25,49,74
19,Jason Pominville,BUF,29,F,82,30,43,73
20,Loui Eriksson,DAL,26,F,82,26,45,71
21,Eric Staal,CAR,27,F,82,24,46,70
22,Matt Moulson,NYI,28,F,82,36,33,69
23,Patrick Sharp,CHI,30,F,74,33,36,69
24,Zach Parise,NJD,27,F,82,31,38,69
25,Henrik Zetterberg,DET,31,F,82,22,47,69
26,Scott Hartnell,PHI,29,F,82,37,30,67
27,Jarome Iginla,CGY,34,F,82,32,35,67
28,Daniel Sedin,VAN,31,F,72,30,37,67
29,Tyler Seguin,BOS,19,F,81,29,38,67
30,Joffrey Lupul,TOR,28,F,66,25,42,67
31,Pavel Datsyuk,DET,33,F,70,19,48,67
32,Pierre Parenteau,NYI,28,F,80,18,49,67
33,Teemu Sel�nne,ANA,41,F,82,26,40,66
34,Brad Richards,NYR,31,F,82,25,41,66
35,Valtteri Filppula,DET,27,F,81,23,43,66
36,Patrick Kane,CHI,23,F,82,23,43,66
37,Alexander Ovechkin,WSH,26,F,78,38,27,65
38,Max Pacioretty,MTL,23,F,79,33,32,65
39,Logan Couture,SJS,22,F,80,31,34,65
40,Teddy Purcell,TBL,26,F,81,24,41,65
41,Patrick Marleau,SJS,32,F,82,30,34,64
42,Patrice Bergeron,BOS,26,F,81,22,42,64
43,Blake Wheeler,WPG,25,F,80,17,47,64
44,Jamie Benn,DAL,22,F,71,26,37,63
45,Mike Ribeiro,DAL,31,F,74,18,45,63
46,Radim Vrbata,PHX,30,F,77,35,27,62
47,Michael Ryder,DAL,31,F,82,35,27,62
48,David Krejc�,BOS,25,F,79,23,39,62
49,Erik Cole,MTL,33,F,82,35,26,61
50,Joe Pavelski,SJS,27,F,82,31,30,61
