Rk,Name,Team,Age,Pos,GP,G,A,P
1,Connor McDavid,EDM,23,F,56,33,72,105
2,Leon Draisaitl,EDM,25,F,56,31,53,84
3,Brad Marchand,BOS,32,F,53,29,40,69
4,Mitchell Marner,TOR,23,F,55,20,47,67
5,Auston Matthews,TOR,23,F,52,41,25,66
6,Mikko Rantanen,COL,24,F,52,30,36,66
7,Patrick Kane,CHI,32,F,56,15,51,66
8,Nathan MacKinnon,COL,25,F,48,20,45,65
9,Mark Scheifele,WPG,27,F,56,21,42,63
10,Sidney Crosby,PIT,33,F,55,24,38,62
11,Mark Stone,VGK,28,F,55,21,40,61
12,Jonathan Huberdeau,FLA,27,F,55,20,41,61
13,Aleksander Barkov,FLA,25,F,50,26,32,58
14,David Perron,STL,32,F,56,19,39,58
15,Artemi Panarin,NYR,29,F,42,17,41,58
16,Sebastian Aho,CAR,23,F,56,24,33,57
17,Jake Guentzel,PIT,26,F,56,23,34,57
18,Alex DeBrincat,CHI,23,F,52,32,24,56
19,Ryan O'Reilly,STL,29,F,56,24,30,54
20,Nicklas B�ckstr�m,WSH,33,F,55,15,38,53
21,Gabriel Landeskog,COL,28,F,54,20,32,52
22,Kirill Kaprizov,MIN,23,F,55,27,24,51
23,Joe Pavelski,DAL,36,F,56,25,26,51
24,Max Pacioretty,VGK,32,F,48,24,27,51
25,Kyle Connor,WPG,24,F,56,26,24,50
26,Mika Zibanejad,NYR,27,F,56,24,26,50
27,John Tavares,TOR,30,F,56,19,31,50
28,Anze Kopitar,LAK,33,F,56,13,37,50
29,Brock Boeser,VAN,23,F,56,23,26,49
30,Evander Kane,SJS,29,F,56,22,27,49
31,Johnny Gaudreau,CGY,27,F,56,19,30,49
32,Ryan Strome,NYR,27,F,56,14,35,49
33,Patrice Bergeron,BOS,35,F,54,23,25,48
34,Brayden Point,TBL,24,F,56,23,25,48
35,David Pastrnak,BOS,24,F,48,20,28,48
36,Pavel Buchnevich,NYR,25,F,54,20,28,48
37,Tyson Barrie,EDM,29,D,56,8,40,48
38,Elias Lindholm,CGY,26,F,56,19,28,47
39,Adam Fox,NYR,22,D,55,5,42,47
40,Nikolaj Ehlers,WPG,24,F,47,21,25,46
41,Blake Wheeler,WPG,34,F,50,15,31,46
42,J.T. Miller,VAN,27,F,53,15,31,46
43,Ondrej Palat,TBL,29,F,55,15,31,46
44,Jason Robertson,DAL,21,F,51,17,28,45
45,Mathew Barzal,NYI,23,F,55,17,28,45
46,Victor Hedman,TBL,30,D,54,9,36,45
47,Kristopher Letang,PIT,33,D,55,7,38,45
48,Tyler Toffoli,MTL,28,F,52,28,16,44
49,Andre Burakovsky,COL,25,F,53,19,25,44
50,Jonathan Marchessault,VGK,30,F,55,18,26,44
