Rk,Name,Team,Age,Pos,GP,G,A,P
1,Patrick Kane,CHI,27,F,82,46,60,106
2,Jamie Benn,DAL,26,F,82,41,48,89
3,Sidney Crosby,PIT,28,F,80,36,49,85
4,Joe Thornton,SJS,36,F,82,19,63,82
5,Erik Karlsson,OTT,25,D,82,16,66,82
6,Joe Pavelski,SJS,31,F,82,38,40,78
7,Johnny Gaudreau,CGY,22,F,79,30,48,78
8,Blake Wheeler,WPG,29,F,82,26,52,78
9,Artemi Panarin,CHI,24,F,80,30,47,77
10,Evgeny Kuznetsov,WSH,23,F,82,20,57,77
11,Brent Burns,SJS,30,D,82,27,48,75
12,Vladimir Tarasenko,STL,24,F,80,40,34,74
13,Anze Kopitar,LAK,28,F,81,25,49,74
14,Tyler Seguin,DAL,23,F,72,33,40,73
15,Alexander Ovechkin,WSH,30,F,79,50,21,71
16,John Tavares,NYI,25,F,78,33,37,70
17,Nicklas B�ckstr�m,WSH,28,F,75,20,50,70
18,Patrice Bergeron,BOS,30,F,80,32,36,68
19,Claude Giroux,PHI,27,F,78,22,45,67
20,Kristopher Letang,PIT,28,D,71,16,51,67
21,Nikita Kucherov,TBL,22,F,77,30,36,66
22,Jarom�r J�gr,FLA,43,F,79,27,39,66
23,Taylor Hall,EDM,24,F,82,26,39,65
24,Steven Stamkos,TBL,25,F,77,36,28,64
25,Filip Forsberg,NSH,21,F,82,33,31,64
26,Max Pacioretty,MTL,27,F,82,30,34,64
27,Kyle Okposo,NYI,27,F,79,22,42,64
28,Jason Spezza,DAL,32,F,75,33,30,63
29,Loui Eriksson,BOS,30,F,82,30,33,63
30,Sean Monahan,CGY,21,F,81,27,36,63
31,David Krejc�,BOS,29,F,72,17,46,63
32,Ryan Getzlaf,ANA,30,F,77,13,50,63
33,Corey Perry,ANA,30,F,82,34,28,62
34,Jeff Carter,LAK,30,F,77,24,38,62
35,Brad Marchand,BOS,27,F,77,37,24,61
36,Mark Scheifele,WPG,22,F,71,29,32,61
37,Daniel Sedin,VAN,35,F,82,28,33,61
38,Mats Zuccarello,NYR,28,F,81,26,35,61
39,Mark Stone,OTT,23,F,75,23,38,61
40,Roman Josi,NSH,25,D,81,14,47,61
41,Wayne Simmonds,PHI,27,F,81,32,28,60
42,Ryan O'Reilly,BUF,24,F,71,21,39,60
43,Jussi Jokinen,FLA,32,F,81,18,42,60
44,Ryan Johansen,NSH,23,F,80,14,46,60
45,Matt Duchene,COL,24,F,76,30,29,59
46,Mike Hoffman,OTT,26,F,78,29,30,59
47,Aleksander Barkov,FLA,20,F,66,28,31,59
48,Brayden Schenn,PHI,24,F,80,26,33,59
49,Phil Kessel,PIT,28,F,82,26,33,59
50,Jonathan Huberdeau,FLA,22,F,76,20,39,59
