Rk,Name,Team,Age,Pos,GP,G,A,P
1,Connor McDavid,EDM,24,F,80,44,79,123
2,Johnny Gaudreau,CGY,28,F,82,40,75,115
3,Jonathan Huberdeau,FLA,28,F,80,30,85,115
4,Leon Draisaitl,EDM,26,F,80,55,55,110
5,Kirill Kaprizov,MIN,24,F,81,47,61,108
6,Auston Matthews,TOR,24,F,73,60,46,106
7,Steven Stamkos,TBL,31,F,81,42,64,106
8,Matthew Tkachuk,CGY,24,F,82,42,62,104
9,J.T. Miller,VAN,28,F,80,32,67,99
10,Mitchell Marner,TOR,24,F,72,35,62,97
11,Roman Josi,NSH,31,D,80,23,73,96
12,Artemi Panarin,NYR,30,F,75,22,74,96
13,Kyle Connor,WPG,25,F,79,47,46,93
14,Mikko Rantanen,COL,25,F,75,36,56,92
15,Patrick Kane,CHI,33,F,78,26,66,92
16,Alexander Ovechkin,WSH,36,F,77,50,40,90
17,Aleksander Barkov,FLA,26,F,67,39,49,88
18,Nathan MacKinnon,COL,26,F,65,32,56,88
19,Nazem Kadri,COL,31,F,71,28,59,87
20,Matt Duchene,NSH,30,F,78,43,43,86
21,Cale Makar,COL,23,D,77,28,58,86
22,Kevin Fiala,MIN,25,F,82,33,52,85
23,Victor Hedman,TBL,31,D,82,20,65,85
24,Filip Forsberg,NSH,27,F,69,42,42,84
25,Jake Guentzel,PIT,27,F,76,40,44,84
26,Sidney Crosby,PIT,34,F,69,31,53,84
27,Elias Lindholm,CGY,27,F,82,42,40,82
28,Vladimir Tarasenko,STL,30,F,75,34,48,82
29,Sam Reinhart,FLA,26,F,78,33,49,82
30,Sebastian Aho,CAR,24,F,79,37,44,81
31,Mika Zibanejad,NYR,28,F,81,29,52,81
32,Joe Pavelski,DAL,37,F,82,27,54,81
33,William Nylander,TOR,25,F,81,34,46,80
34,Brad Marchand,BOS,33,F,70,32,48,80
35,Jason Robertson,DAL,22,F,74,41,38,79
36,Mats Zuccarello,MIN,34,F,70,24,55,79
37,Alex DeBrincat,CHI,24,F,82,41,37,78
38,Evgeny Kuznetsov,WSH,29,F,79,24,54,78
39,Chris Kreider,NYR,30,F,81,52,25,77
40,David Pastrnak,BOS,25,F,72,40,37,77
41,Robert Thomas,STL,22,F,72,20,57,77
42,Timo Meier,SJS,25,F,77,35,41,76
43,Pavel Buchnevich,STL,26,F,73,30,46,76
44,John Tavares,TOR,31,F,79,27,49,76
45,Jordan Kyrou,STL,23,F,74,27,48,75
46,Adam Fox,NYR,23,D,78,11,63,74
47,Jesper Bratt,NJD,23,F,76,26,47,73
48,Roope Hintz,DAL,25,F,80,37,35,72
49,John Carlson,WSH,31,D,78,17,54,71
50,Mark Scheifele,WPG,28,F,67,29,41,70
