Rk,Name,Team,Age,Pos,GP,G,A,P
1,Martin St. Louis,TBL,37,F,48,17,43,60
2,Steven Stamkos,TBL,22,F,48,29,28,57
3,Alexander Ovechkin,WSH,27,F,48,32,24,56
4,Sidney Crosby,PIT,25,F,36,15,41,56
5,Patrick Kane,CHI,24,F,47,23,32,55
6,Eric Staal,CAR,28,F,48,18,35,53
7,Chris Kunitz,PIT,33,F,48,22,30,52
8,Phil Kessel,TOR,25,F,48,20,32,52
9,Taylor Hall,EDM,21,F,45,16,34,50
10,Ryan Getzlaf,ANA,27,F,44,15,34,49
11,Pavel Datsyuk,DET,34,F,47,15,34,49
12,Mike Ribeiro,WSH,32,F,48,13,36,49
13,Jonathan Toews,CHI,24,F,47,23,25,48
14,Claude Giroux,PHI,24,F,48,13,35,48
15,Henrik Zetterberg,DET,32,F,46,11,37,48
16,Nicklas B�ckstr�m,WSH,25,F,48,8,40,48
17,John Tavares,NYI,22,F,48,28,19,47
18,Jakub Vor�cek,PHI,23,F,48,22,24,46
19,Andrew Ladd,WPG,27,F,48,18,28,46
20,Henrik Sedin,VAN,32,F,48,11,34,45
21,Nazem Kadri,TOR,22,F,48,18,26,44
22,Derek Stepan,NYR,22,F,48,18,26,44
23,Matt Moulson,NYI,29,F,47,15,29,44
24,Alexander Semin,CAR,28,F,44,13,31,44
25,Pierre Parenteau,COL,29,F,48,18,25,43
26,Matt Duchene,COL,21,F,47,17,26,43
27,Rick Nash,NYR,28,F,44,21,21,42
28,Anze Kopitar,LAK,25,F,47,10,32,42
29,Thomas Vanek,BUF,28,F,38,20,21,41
30,Blake Wheeler,WPG,26,F,48,19,22,41
31,Daniel Sedin,VAN,32,F,47,12,28,40
32,Joe Thornton,SJS,33,F,48,7,33,40
33,Max Pacioretty,MTL,24,F,44,15,24,39
34,Jir� Tlusty,CAR,24,F,48,23,15,38
35,Pascal Dupuis,PIT,33,F,48,20,18,38
36,Zach Parise,MIN,28,F,48,18,20,38
37,Sam Gagner,EDM,23,F,48,14,24,38
38,P.K. Subban,MTL,23,D,42,11,27,38
39,Kristopher Letang,PIT,25,D,35,5,33,38
40,Logan Couture,SJS,23,F,48,21,16,37
41,Jordan Eberle,EDM,22,F,48,16,21,37
42,Mikko Koivu,MIN,29,F,48,11,26,37
43,James Neal,PIT,25,F,40,21,15,36
44,Brad Marchand,BOS,24,F,45,18,18,36
45,Chris Stewart,STL,25,F,48,18,18,36
46,Corey Perry,ANA,27,F,44,15,21,36
47,Patrik Elias,NJD,36,F,48,14,22,36
48,Teddy Purcell,TBL,27,F,48,11,25,36
49,Jarom�r J�gr,BOS,40,F,45,16,19,35
50,Michael Ryder,MTL,32,F,46,16,19,35
