Rk,Name,Team,Age,Pos,GP,G,A,P
1,Evgeni Malkin,PIT,22,F,82,35,78,113
2,Alexander Ovechkin,WSH,23,F,79,56,54,110
3,Sidney Crosby,PIT,21,F,77,33,70,103
4,Pavel Datsyuk,DET,30,F,81,32,65,97
5,Zach Parise,NJD,24,F,82,45,49,94
6,Ilya Kovalchuk,ATL,25,F,79,43,48,91
7,Ryan Getzlaf,ANA,23,F,81,25,66,91
8,Jarome Iginla,CGY,31,F,82,35,54,89
9,Marc Savard,BOS,31,F,82,25,63,88
10,Nicklas Backstrom,WSH,21,F,82,22,66,88
11,Joe Thornton,SJS,29,F,82,25,61,86
12,Jeff Carter,PHI,23,F,82,46,38,84
13,Mike Cammalleri,CGY,26,F,81,39,43,82
14,Daniel Sedin,VAN,28,F,82,31,51,82
15,Henrik Sedin,VAN,28,F,82,22,60,82
16,Mike Richards,PHI,23,F,79,30,50,80
17,Martin St. Louis,TBL,33,F,82,30,50,80
18,Rick Nash,CBJ,24,F,78,40,39,79
19,Alexander Semin,WSH,24,F,62,34,45,79
20,Patrik Elias,NJD,32,F,77,31,47,78
21,Mike Ribeiro,DAL,28,F,82,22,56,78
22,Martin Havl�t,CHI,27,F,81,29,48,77
23,Ray Whitney,CAR,36,F,82,24,53,77
24,Vyacheslav Kozlov,ATL,36,F,82,26,50,76
25,Eric Staal,CAR,24,F,82,40,35,75
26,Simon Gagne,PHI,28,F,79,34,40,74
27,Daniel Alfredsson,OTT,36,F,79,24,50,74
28,Jason Spezza,OTT,25,F,82,32,41,73
29,Mike Green,WSH,23,D,68,31,42,73
30,Henrik Zetterberg,DET,28,F,77,31,42,73
31,Shane Doan,PHX,32,F,82,31,42,73
32,David Krejc�,BOS,22,F,82,22,51,73
33,Todd White,ATL,33,F,82,22,51,73
34,Dany Heatley,OTT,27,F,82,39,33,72
35,Brad Boyes,STL,26,F,82,33,39,72
36,Corey Perry,ANA,23,F,78,32,40,72
37,Marian Hossa,DET,29,F,74,40,31,71
38,Patrick Marleau,SJS,29,F,76,38,33,71
39,Derek Roy,BUF,25,F,82,28,42,70
40,Patrick Kane,CHI,20,F,80,25,45,70
41,Jonathan Toews,CHI,20,F,82,34,35,69
42,Jamie Langenbrunner,NJD,33,F,81,29,40,69
43,Vincent Lecavalier,TBL,28,F,77,29,38,67
44,Mikko Koivu,MIN,25,F,79,20,47,67
45,Anze Kopitar,LAK,21,F,82,27,39,66
46,Ales Hemsky,EDM,25,F,72,23,43,66
47,Jason Pominville,BUF,26,F,82,20,46,66
48,Devin Setoguchi,SJS,21,F,81,31,34,65
49,Alexei Kovalev,MTL,35,F,78,26,39,65
50,Jean-Pierre Dumont,NSH,30,F,82,16,49,65
