Rk,Name,Team,Age,Pos,GP,G,A,P
1,Alexander Ovechkin,WSH,22,F,82,65,47,112
2,Evgeni Malkin,PIT,21,F,82,47,59,106
3,Jarome Iginla,CGY,30,F,82,50,48,98
4,Pavel Datsyuk,DET,29,F,82,31,66,97
5,Joe Thornton,SJS,28,F,82,29,67,96
6,Henrik Zetterberg,DET,27,F,75,43,49,92
7,Vincent Lecavalier,TBL,27,F,81,40,52,92
8,Jason Spezza,OTT,24,F,76,34,58,92
9,Daniel Alfredsson,OTT,35,F,70,40,49,89
10,Ilya Kovalchuk,ATL,24,F,79,52,35,87
11,Alexei Kovalev,MTL,34,F,82,35,49,84
12,Marian Gaborik,MIN,25,F,77,42,41,83
13,Mike Ribeiro,DAL,27,F,76,27,56,83
14,Martin St. Louis,TBL,32,F,82,25,58,83
15,Dany Heatley,OTT,26,F,71,41,41,82
16,Eric Staal,CAR,23,F,82,38,44,82
17,Ryan Getzlaf,ANA,22,F,77,24,58,82
18,Derek Roy,BUF,24,F,78,32,49,81
19,Jason Pominville,BUF,25,F,82,27,53,80
20,Mats Sundin,TOR,36,F,74,32,46,78
21,Shane Doan,PHX,31,F,80,28,50,78
22,Marc Savard,BOS,30,F,74,15,63,78
23,Anze Kopitar,LAK,20,F,82,32,45,77
24,Henrik Sedin,VAN,27,F,82,15,61,76
25,Mike Richards,PHI,22,F,73,28,47,75
26,Brenden Morrow,DAL,28,F,82,32,42,74
27,Daniel Sedin,VAN,27,F,82,29,45,74
28,Daniel Briere,PHI,30,F,79,31,41,72
29,Jean-Pierre Dumont,NSH,29,F,80,29,43,72
30,Jason Arnott,NSH,33,F,79,28,44,72
31,Sidney Crosby,PIT,20,F,53,24,48,72
32,Patrick Kane,CHI,19,F,82,21,51,72
33,Olli Jokinen,FLA,29,F,82,34,37,71
34,V�clav Prospal,PHI,32,F,80,33,38,71
35,Jarom�r J�gr,NYR,35,F,82,25,46,71
36,Paul Stastny,COL,22,F,66,24,47,71
37,Ales Hemsky,EDM,24,F,74,20,51,71
38,Scott Gomez,NYR,28,F,81,16,54,70
39,Nicklas Lidstr�m,DET,37,D,76,10,60,70
40,Rick Nash,CBJ,23,F,80,38,31,69
41,Tomas Plekanec,MTL,25,F,81,29,40,69
42,Nicklas B�ckstr�m,WSH,20,F,82,14,55,69
43,Alexander Frolov,LAK,25,F,71,23,44,67
44,Marian Hossa,PIT,28,F,72,29,37,66
45,Kristian Huselius,CGY,29,F,81,25,41,66
46,Brad Boyes,STL,25,F,82,43,22,65
47,Zach Parise,NJD,23,F,81,32,33,65
48,Daymond Langkow,CGY,31,F,80,30,35,65
49,Cory Stillman,OTT,34,F,79,24,41,65
50,Paul Kariya,STL,33,F,82,16,49,65
