Rk,Name,Team,Age,Pos,GP,G,A,P
1,Henrik Sedin,VAN,29,F,82,29,83,112
2,Sidney Crosby,PIT,22,F,81,51,58,109
3,Alexander Ovechkin,WSH,24,F,72,50,59,109
4,Nicklas Backstrom,WSH,22,F,82,33,68,101
5,Steven Stamkos,TBL,19,F,82,51,44,95
6,Martin St. Louis,TBL,34,F,82,29,65,94
7,Brad Richards,DAL,29,F,80,24,67,91
8,Joe Thornton,SJS,30,F,79,20,69,89
9,Patrick Kane,CHI,21,F,82,30,58,88
10,Marian Gaborik,NYR,27,F,76,42,44,86
11,Ilya Kovalchuk,NJD,26,F,76,41,44,85
12,Daniel Sedin,VAN,29,F,63,29,56,85
13,Alexander Semin,WSH,25,F,73,40,44,84
14,Patrick Marleau,SJS,30,F,82,44,39,83
15,Dany Heatley,SJS,28,F,82,39,43,82
16,Zach Parise,NJD,25,F,81,38,44,82
17,Anze Kopitar,LAK,22,F,82,34,47,81
18,Paul Stastny,COL,24,F,81,20,59,79
19,Evgeni Malkin,PIT,23,F,67,28,49,77
20,Corey Perry,ANA,24,F,82,27,49,76
21,Mike Green,WSH,24,D,75,19,57,76
22,Ryan Kesler,VAN,25,F,82,25,50,75
23,Loui Eriksson,DAL,24,F,82,29,42,71
24,Mikko Koivu,MIN,26,F,80,22,49,71
25,Daniel Alfredsson,OTT,37,F,70,20,51,71
26,Eric Staal,CAR,25,F,70,29,41,70
27,Pavel Datsyuk,DET,31,F,80,27,43,70
28,Tomas Plekanec,MTL,27,F,82,25,45,70
29,Vincent Lecavalier,TBL,29,F,82,24,46,70
30,Henrik Zetterberg,DET,29,F,74,23,47,70
31,Jarome Iginla,CGY,32,F,82,32,37,69
32,Derek Roy,BUF,26,F,80,26,43,69
33,Ryan Getzlaf,ANA,24,F,66,19,50,69
34,Duncan Keith,CHI,26,D,82,14,55,69
35,Jonathan Toews,CHI,21,F,76,25,43,68
36,Alexandre Burrows,VAN,28,F,82,35,32,67
37,Rick Nash,CBJ,25,F,76,33,34,67
38,Travis Zajac,NJD,24,F,82,25,42,67
39,Nikolai Antropov,ATL,29,F,76,24,43,67
40,Patrick Sharp,CHI,28,F,82,25,41,66
41,Jussi Jokinen,CAR,26,F,81,30,35,65
42,Antoine Vermette,CBJ,27,F,82,27,38,65
43,Wojtek Wolski,PHX,23,F,80,23,42,65
44,Tim Connolly,BUF,28,F,73,17,48,65
45,Bobby Ryan,ANA,22,F,81,35,29,64
46,Chris Stewart,COL,22,F,77,28,36,64
47,Dustin Penner,EDM,27,F,82,32,31,63
48,Kristian Huselius,CBJ,31,F,74,23,40,63
49,Mike Richards,PHI,24,F,82,31,31,62
50,Jason Pominville,BUF,27,F,82,24,38,62
