Rk,Name,Team,Age,Pos,GP,G,A,P
1,Connor McDavid,EDM,19,F,82,30,70,100
2,Sidney Crosby,PIT,29,F,75,44,45,89
3,Patrick Kane,CHI,28,F,82,34,55,89
4,Nicklas B�ckstr�m,WSH,29,F,82,23,63,86
5,Nikita Kucherov,TBL,23,F,74,40,45,85
6,Brad Marchand,BOS,28,F,80,39,46,85
7,Mark Scheifele,WPG,23,F,79,32,50,82
8,Leon Draisaitl,EDM,21,F,82,29,48,77
9,Brent Burns,SJS,31,D,82,29,47,76
10,Vladimir Tarasenko,STL,25,F,82,39,36,75
11,Artemi Panarin,CHI,25,F,82,31,43,74
12,Blake Wheeler,WPG,30,F,82,26,48,74
13,Ryan Getzlaf,ANA,31,F,74,15,58,73
14,Evgeni Malkin,PIT,30,F,62,33,39,72
15,Tyler Seguin,DAL,24,F,82,26,46,72
16,Victor Hedman,TBL,26,D,79,16,56,72
17,Erik Karlsson,OTT,26,D,77,17,54,71
18,David Pastrnak,BOS,20,F,75,34,36,70
19,Phil Kessel,PIT,29,F,82,23,47,70
20,Auston Matthews,TOR,19,F,82,40,29,69
21,Alexander Ovechkin,WSH,31,F,82,33,36,69
22,Jamie Benn,DAL,27,F,77,26,43,69
23,Mikael Granlund,MIN,24,F,81,26,43,69
24,Joe Pavelski,SJS,32,F,81,29,39,68
25,Henrik Zetterberg,DET,36,F,82,17,51,68
26,Max Pacioretty,MTL,28,F,81,35,32,67
27,Jeff Carter,LAK,31,F,82,32,34,66
28,John Tavares,NYI,26,F,77,28,38,66
29,Eric Staal,MIN,32,F,82,28,37,65
30,Patrik Laine,WPG,18,F,73,36,28,64
31,Nikolaj Ehlers,WPG,20,F,82,25,39,64
32,Jeff Skinner,CAR,24,F,79,37,26,63
33,Cam Atkinson,CBJ,27,F,82,35,27,62
34,James van Riemsdyk,TOR,27,F,82,29,33,62
35,Nazem Kadri,TOR,26,F,82,32,29,61
36,Viktor Arvidsson,NSH,23,F,80,31,30,61
37,Mike Hoffman,OTT,27,F,74,26,35,61
38,William Nylander,TOR,20,F,81,22,39,61
39,Jakub Vor�cek,PHI,27,F,82,20,41,61
40,Mitchell Marner,TOR,19,F,77,19,42,61
41,Johnny Gaudreau,CGY,23,F,72,18,43,61
42,Ryan Johansen,NSH,24,F,82,14,47,61
43,Evgeny Kuznetsov,WSH,24,F,82,19,40,59
44,Mats Zuccarello,NYR,29,F,80,15,44,59
45,Alexander Wennberg,CBJ,22,F,80,13,46,59
46,Filip Forsberg,NSH,22,F,82,31,27,58
47,Sean Monahan,CGY,22,F,82,27,31,58
48,Marcus Johansson,WSH,26,F,82,24,34,58
49,Ryan Kesler,ANA,32,F,82,22,36,58
50,Jonathan Toews,CHI,28,F,72,21,37,58
