Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Nikita Kucherov;TBL;25;F;82;41;87;128;62;24;19:57;16:11;3:43;0:03;26;15;0;8;0;54;33;0;20;3;80;48;0;28;3;37.5%;1,503;3,188;4,691;1,175;2,441;3,616;2,944;6,477;9,422;0,5;1,061;1,561;246;16.7%;44;31;0;3;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Connor McDavid;EDM;21;F;78;41;75;116;20;3;22:50;18:47;3:25;0:37;31;9;1;9;3;50;24;1;8;3;81;33;2;17;6;28.4%;1,381;2,526;3,907;1,269;2,047;3,316;2,023;5,396;7,419;0,526;0,962;1,487;240;17.1%;39;30;428;490;46.62%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Patrick Kane;CHI;30;F;81;44;66;110;22;2;22:29;18:43;3:42;0:03;35;9;0;7;3;45;21;0;10;0;80;30;0;17;3;27.3%;1,449;2,174;3,623;1,385;1,78;3,165;1,796;4,19;5,986;0,543;0,815;1,358;341;12.9%;21;18;1;4;20.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Leon Draisaitl;EDM;23;F;82;50;55;105;52;2;22:35;18:05;3:20;1:09;31;16;3;5;3;42;13;0;10;3;73;29;3;15;6;27.6%;1,619;1,781;3,401;1,254;1,699;2,953;3,499;2,843;6,343;0,61;0,671;1,28;231;21.7%;57;26;677;663;50.52%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Brad Marchand;BOS;30;F;79;36;64;100;96;15;19:37;14:53;3:09;1:34;23;10;3;9;3;36;24;4;10;1;59;34;7;19;4;34.0%;1,393;2,477;3,87;1,173;1,836;3,009;2,4;5,761;8,162;0,456;0,81;1,266;231;15.6%;46;19;45;60;42.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Sidney Crosby;PIT;31;F;79;35;65;100;36;18;20:59;17:13;3:12;0:34;23;12;0;3;1;46;17;2;15;2;69;29;2;18;3;29.0%;1,266;2,352;3,618;1,014;2,029;3,043;2,843;4,027;6,87;0,443;0,823;1,266;220;15.9%;85;43;1012;814;55.42%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Nathan MacKinnon;COL;23;F;82;41;58;99;34;20;22:05;17:53;4:05;0:06;29;12;0;6;1;33;25;0;14;2;62;37;0;20;3;37.4%;1,358;1,921;3,279;1,186;1,349;2,535;2,146;4,472;6,618;0,5;0,707;1,207;365;11.2%;54;31;517;666;43.70%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Johnny Gaudreau;CGY;25;F;82;36;63;99;24;18;20:04;16:41;3:20;0:02;30;6;0;8;3;42;21;0;11;0;72;27;0;19;3;27.3%;1,312;2,296;3,609;1,315;1,841;3,157;1,316;4,607;5,923;0,439;0,768;1,207;245;14.7%;12;12;1;2;33.33%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Steven Stamkos;TBL;28;F;82;45;53;98;37;4;18:18;14:04;3:37;0:36;24;19;2;6;0;32;21;0;6;1;56;40;2;12;1;40.8%;1,799;2,119;3,918;1,248;1,664;2,912;3,83;4,233;8,064;0,549;0,646;1,195;234;19.2%;72;40;506;447;53.10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Aleksander Barkov;FLA;23;F;82;35;61;96;8;-3;22:21;16:46;3:30;2:04;22;13;0;5;2;42;18;1;11;3;64;31;1;16;5;32.3%;1,146;1,997;3,142;0,96;1,833;2,793;2,705;3,746;6,451;0,427;0,744;1,171;206;17.0%;28;61;1041;898;53.69%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
