Rk;Name;Team;Age;Pos;GP;G;A;P;PIM;+/-;TOI;ES;PP;SH;ESG;PPG;SHG;GWG;OTG;ESA;PPA;SHA;GWA;OTA;ESP;PPP;SHP;GWP;OTP;PPP%;G/60;A/60;P/60;ESG/60;ESA/60;ESP/60;PPG/60;PPA/60;PPP/60;G/GP;A/GP;P/GP;SHOTS;SH%;HITS;BS;FOW;FOL;FO%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Kyle Connor;WPG;23;F;71;38;35;73;34;4;21:05;16:44;3:17;1:02;28;9;1;7;1;26;8;1;4;1;54;17;2;11;2;23.3%;1,523;1,403;2,925;1,413;1,312;2,725;2,306;2,05;4,356;0,535;0,493;1,028;239;15.9%;18;17;2;11;15.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Mark Scheifele;WPG;26;F;71;29;44;73;45;2;21:48;18:15;3:18;0:14;19;10;0;6;2;34;10;0;3;0;53;20;0;9;2;27.4%;1,124;1,705;2,829;0,88;1,574;2,454;2,555;2,555;5,111;0,408;0,62;1,028;170;17.1%;34;49;604;685;46.86%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;J.T. Miller;VAN;26;F;69;27;45;72;47;11;20:06;15:37;3:52;0:36;18;9;0;3;1;27;16;2;10;1;45;25;2;13;2;34.7%;1,168;1,947;3,114;1,002;1,502;2,504;2,022;3,596;5,618;0,391;0,652;1,043;165;16.4%;123;38;425;293;59.19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Alexander Ovechkin;WSH;34;F;68;48;19;67;30;-12;20:39;15:45;4:53;0:01;35;13;0;3;1;14;5;0;4;1;49;18;0;7;2;26.9%;2,05;0,811;2,861;1,96;0,784;2,744;2,346;0,902;3,248;0,706;0,279;0,985;311;15.4%;184;30;1;0;100.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Mitchell Marner;TOR;22;F;59;16;51;67;16;6;21:33;16:07;3:13;2:11;10;6;0;2;1;32;18;1;10;3;42;24;1;12;4;35.8%;0,755;2,406;3,161;0,63;2,017;2,647;1,894;5,681;7,575;0,271;0,864;1,136;154;10.4%;24;37;7;19;26.92%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Sebastian Aho;CAR;22;F;68;38;28;66;26;10;19:25;14:46;2:50;1:48;26;8;4;5;0;18;9;1;7;2;44;17;5;12;2;25.8%;1,726;1,272;2,998;1,553;1,075;2,628;2,478;2,788;5,266;0,559;0,412;0,971;206;18.5%;55;20;409;480;46.01%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Max Pacioretty;VGK;31;F;71;32;34;66;44;18;17:54;15:25;2:27;0:01;24;8;0;5;1;23;11;0;6;1;47;19;0;11;2;28.8%;1,51;1,604;3,114;1,314;1,26;2,574;2,758;3,792;6,55;0,451;0,479;0,93;307;10.4%;90;35;51;45;53.13%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Steven Stamkos;TBL;29;F;57;29;37;66;22;14;18:25;14:37;3:17;0:30;19;10;0;6;0;28;9;0;7;1;47;19;0;13;1;28.8%;1,657;2,114;3,772;1,368;2,016;3,384;3,204;2,883;6,087;0,509;0,649;1,158;176;16.5%;69;38;365;307;54.32%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Elias Pettersson;VAN;21;F;68;27;39;66;18;16;18:31;14:37;3:52;0:01;19;8;0;5;1;23;16;0;4;1;42;24;0;9;2;36.4%;1,286;1,857;3,143;1,146;1,388;2,534;1,82;3,641;5,461;0,397;0,574;0,971;162;16.7%;63;42;58;82;41.43%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Blake Wheeler;WPG;33;F;71;22;43;65;37;1;19:18;15:24;3:15;0:39;17;4;1;2;0;24;18;1;8;1;41;22;2;10;1;33.8%;0,963;1,882;2,844;0,933;1,317;2,25;1,037;4,667;5,704;0,31;0,606;0,915;180;12.2%;102;51;325;327;49.85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Roman Josi;NSH;29;D;69;16;49;65;41;22;25:46;20:29;3:16;2:00;12;4;0;1;0;30;19;0;8;1;42;23;0;9;1;35.4%;0,54;1,653;2,193;0,509;1,273;1,782;1,061;5,041;6,102;0,232;0,71;0,942;260;6.2%;52;108;0;0;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Brayden Point;TBL;23;F;66;25;39;64;11;28;18:53;15:33;3:16;0:03;17;8;0;4;0;34;5;0;9;3;51;13;0;13;3;20.3%;1,203;1,877;3,081;0,994;1,988;2,981;2,219;1,387;3,606;0,379;0,591;0,97;141;17.7%;24;30;397;377;51.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Patrik Laine;WPG;21;F;68;28;35;63;22;8;19:24;16:10;3:13;0:00;20;8;0;1;0;27;8;0;9;1;47;16;0;10;1;25.4%;1,273;1,591;2,864;1,09;1,472;2,563;2,188;2,188;4,376;0,412;0,515;0,926;226;12.4%;97;35;10;17;37.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Mark Stone;VGK;27;F;65;21;42;63;27;15;19:24;14:58;2:30;1:55;15;6;0;3;0;30;11;1;5;3;45;17;1;8;3;27.0%;0,999;1,997;2,996;0,925;1,85;2,774;2,203;4,04;6,243;0,323;0,646;0,969;168;12.5%;56;51;16;30;34.78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Teuvo Teräväinen;CAR;25;F;68;15;48;63;8;20;19:11;14:24;3:00;1:46;10;4;1;1;0;28;17;3;10;0;38;21;4;11;0;33.3%;0,69;2,207;2,896;0,612;1,714;2,326;1,174;4,989;6,162;0,221;0,706;0,926;182;8.2%;18;30;26;27;49.06%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Anze Kopitar;LAK;32;F;70;21;41;62;16;6;21:02;16:21;2:52;1:47;13;7;1;5;1;27;14;0;7;3;40;21;1;12;4;33.9%;0,856;1,67;2,526;0,681;1,414;2,095;2,081;4,163;6,244;0,3;0,586;0,886;135;15.6%;49;56;776;631;55.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Aleksander Barkov;FLA;24;F;66;20;42;62;18;2;20:00;15:30;3:23;1:06;13;7;0;2;0;28;13;1;10;2;41;20;1;12;2;32.3%;0,908;1,908;2,816;0,762;1,641;2,403;1,877;3,486;5,363;0,303;0,636;0,939;172;11.6%;21;35;653;551;54.24%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Travis Konecny;PHI;22;F;66;24;37;61;28;-1;16:48;13:54;2:52;0:01;19;5;0;3;0;19;18;0;6;2;38;23;0;9;2;37.7%;1,298;2,002;3,3;1,241;1,241;2,483;1,583;5,699;7,282;0,364;0,561;0,924;141;17.0%;63;30;24;25;48.98%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Andrei Svechnikov;CAR;19;F;68;24;37;61;54;9;16:44;13:45;2:57;0:00;18;6;0;5;1;23;14;0;10;2;41;20;0;15;3;32.8%;1,265;1,95;3,216;1,154;1,474;2,628;1,79;4,177;5,968;0,353;0,544;0,897;183;13.1%;116;27;0;1;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Matthew Tkachuk;CGY;22;F;69;23;38;61;74;-5;18:18;15:28;2:50;0:00;18;5;0;4;2;24;14;0;6;1;42;19;0;10;3;31.1%;1,092;1,805;2,897;1,012;1,349;2,361;1,534;4,294;5,828;0,333;0,551;0,884;188;12.2%;122;22;0;4;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Ryan Nugent-Hopkins;EDM;26;F;65;22;39;61;33;1;20:28;15:00;3:44;1:42;15;7;0;4;0;22;17;0;7;1;37;24;0;11;1;39.3%;0,992;1,759;2,751;0,922;1,353;2,275;1,725;4,189;5,914;0,338;0,6;0,938;172;12.8%;33;44;205;199;50.74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Tomas Tatar;MTL;29;F;68;22;39;61;36;5;16:17;14:04;2:11;0:01;14;8;0;1;0;33;6;0;4;1;47;14;0;5;1;23.0%;1,191;2,112;3,303;0,877;2,068;2,945;3,229;2,422;5,651;0,324;0,574;0,897;162;13.6%;79;24;9;16;36.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Ryan O'Reilly;STL;28;F;71;12;49;61;10;11;20:34;15:32;2:53;2:08;9;2;1;3;1;33;16;0;9;2;42;18;1;12;3;29.5%;0,493;2,013;2,506;0,49;1,795;2,284;0,584;4,674;5,258;0,169;0,69;0,859;118;10.2%;16;42;880;677;56.52%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;John Tavares;TOR;29;F;63;26;34;60;24;-7;19:32;16:31;3:00;0:01;19;7;0;4;3;20;14;0;8;0;39;21;0;12;3;35.0%;1,267;1,656;2,923;1,095;1,153;2,248;2,214;4,429;6,643;0,413;0,54;0,952;197;13.2%;32;31;617;499;55.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;David Perron;STL;31;F;71;25;35;60;52;2;18:19;15:18;2:58;0:01;16;9;0;9;4;17;18;0;5;0;33;27;0;14;4;45.0%;1,153;1,615;2,768;0,884;0,939;1,822;2,55;5,1;7,651;0,352;0,493;0,845;166;15.1%;67;19;3;5;37.50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Mathew Barzal;NYI;22;F;68;19;41;60;44;5;20:02;17:23;2:38;0:00;15;4;0;2;0;33;8;0;11;3;48;12;0;13;3;20.0%;0,837;1,806;2,642;0,761;1,674;2,435;1,339;2,679;4,018;0,279;0,603;0,882;171;11.1%;22;43;228;319;41.68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Jonathan Toews;CHI;31;F;70;18;42;60;48;-2;19:46;14:32;3:18;1:55;16;1;1;3;3;35;7;0;6;1;51;8;1;9;4;13.3%;0,78;1,82;2,6;0,943;2,063;3,006;0,259;1,812;2,07;0,257;0,6;0,857;172;10.5%;56;35;856;638;57.30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;William Nylander;TOR;23;F;68;31;28;59;12;-2;18:12;15:18;2:53;0:00;22;9;0;7;1;20;8;0;5;1;42;17;0;12;2;28.8%;1,502;1,357;2,859;1,268;1,153;2,42;2,753;2,448;5,201;0,456;0,412;0,868;197;15.7%;9;14;106;106;50.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Mike Hoffman;FLA;30;F;69;29;30;59;28;-5;16:50;13:09;3:39;0:01;18;11;0;3;0;20;10;0;3;0;38;21;0;6;0;35.6%;1,498;1,549;3,047;1,19;1,322;2,512;2,615;2,377;4,992;0,42;0,435;0,855;214;13.6%;33;22;7;8;46.67%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Sean Couturier;PHI;27;F;69;22;37;59;30;21;19:49;15:02;2:45;2:02;18;4;0;4;1;28;9;0;8;2;46;13;0;12;3;22.0%;0,965;1,622;2,587;1,041;1,619;2,661;1,26;2,834;4,094;0,319;0,536;0,855;185;11.9%;60;26;542;367;59.63%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Ryan Strome;NYR;26;F;70;18;41;59;48;21;19:35;14:23;2:57;2:14;15;3;0;3;0;26;14;1;9;2;41;17;1;12;2;28.8%;0,788;1,794;2,582;0,893;1,548;2,442;0,871;4,065;4,937;0,257;0,586;0,843;154;11.7%;45;32;496;548;47.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Brayden Schenn;STL;28;F;71;25;33;58;44;3;18:27;15:22;2:51;0:13;15;10;0;4;0;22;11;0;8;2;37;21;0;12;2;36.2%;1,145;1,511;2,655;0,824;1,209;2,033;2,961;3,257;6,218;0,352;0,465;0,817;138;18.1%;119;21;350;364;49.02%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Nikolaj Ehlers;WPG;23;F;71;25;33;58;30;14;16:31;15:10;1:19;0:01;21;3;1;5;0;31;2;0;2;0;52;5;1;7;0;8.6%;1,278;1,687;2,965;1,17;1,727;2,897;1,906;1,271;3,177;0,352;0,465;0,817;203;12.3%;36;28;0;2;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Johnny Gaudreau;CGY;26;F;70;18;40;58;12;-10;18:46;15:51;2:53;0:00;12;6;0;2;0;28;12;0;6;1;40;18;0;8;1;31.0%;0,822;1,827;2,649;0,649;1,513;2,162;1,775;3,55;5,325;0,257;0,571;0,829;209;8.6%;1;11;1;3;25.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Jaden Schwartz;STL;27;F;71;22;35;57;18;3;18:10;15:09;2:48;0:12;13;9;0;4;1;24;11;0;6;0;37;20;0;10;1;35.1%;1,023;1,627;2,65;0,725;1,338;2,063;2,711;3,313;6,024;0,31;0,493;0,803;162;13.6%;60;28;9;11;45.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Patrice Bergeron;BOS;34;F;61;31;25;56;28;23;18:44;13:24;3:36;1:43;19;11;1;5;1;16;9;0;4;1;35;20;1;9;2;35.7%;1,627;1,312;2,938;1,393;1,173;2,567;2,992;2,448;5,44;0,508;0,41;0,918;203;15.3%;46;46;759;553;57.85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
