Rk,Name,Team,Age,Pos,GP,G,A,P
1,Daniel Sedin,VAN,30,F,82,41,63,104
2,Martin St. Louis,TBL,35,F,82,31,68,99
3,Corey Perry,ANA,25,F,82,50,48,98
4,Henrik Sedin,VAN,30,F,82,19,75,94
5,Steven Stamkos,TBL,20,F,82,45,46,91
6,Jarome Iginla,CGY,33,F,82,43,43,86
7,Alexander Ovechkin,WSH,25,F,79,32,53,85
8,Teemu Selanne,ANA,40,F,73,31,49,80
9,Henrik Zetterberg,DET,30,F,80,24,56,80
10,Brad Richards,DAL,30,F,72,28,49,77
11,Eric Staal,CAR,26,F,81,33,43,76
12,Jonathan Toews,CHI,22,F,80,32,44,76
13,Claude Giroux,PHI,22,F,82,25,51,76
14,Ryan Getzlaf,ANA,25,F,67,19,57,76
15,Ryan Kesler,VAN,26,F,82,41,32,73
16,Patrick Marleau,SJS,31,F,82,37,36,73
17,Thomas Vanek,BUF,26,F,80,32,41,73
18,Patrick Kane,CHI,22,F,73,27,46,73
19,Loui Eriksson,DAL,25,F,79,27,46,73
20,Anze Kopitar,LAK,23,F,75,25,48,73
21,Patrick Sharp,CHI,29,F,74,34,37,71
22,Bobby Ryan,ANA,23,F,82,34,37,71
23,Mike Ribeiro,DAL,30,F,82,19,52,71
24,Joe Thornton,SJS,31,F,80,21,49,70
25,Alex Tanguay,CGY,31,F,79,22,47,69
26,Daniel Briere,PHI,33,F,77,34,34,68
27,Lubomir Visnovsky,ANA,34,D,81,18,50,68
28,John Tavares,NYI,20,F,79,29,38,67
29,Matt Duchene,COL,19,F,80,27,40,67
30,Jeff Carter,PHI,25,F,80,36,30,66
31,Sidney Crosby,PIT,23,F,41,32,34,66
32,Rick Nash,CBJ,26,F,75,32,34,66
33,Mike Richards,PHI,25,F,81,23,43,66
34,Joe Pavelski,SJS,26,F,74,20,46,66
35,Nicklas B�ckstr�m,WSH,23,F,77,18,47,65
36,Phil Kessel,TOR,23,F,82,32,32,64
37,Dany Heatley,SJS,29,F,80,26,38,64
38,Jeff Skinner,CAR,18,F,82,31,32,63
39,David Backes,STL,26,F,82,31,31,62
40,Milan Lucic,BOS,22,F,79,30,32,62
41,Ryane Clowe,SJS,28,F,75,24,38,62
42,Martin Havl�t,MIN,29,F,78,22,40,62
43,Patrik Elias,NJD,34,F,81,21,41,62
44,Clarke MacArthur,TOR,25,F,82,21,41,62
45,Mikko Koivu,MIN,27,F,71,17,45,62
46,Nicklas Lidstr�m,DET,40,D,82,16,46,62
47,David Krejc�,BOS,24,F,75,13,49,62
48,Ilya Kovalchuk,NJD,27,F,81,31,29,60
49,Shane Doan,PHX,34,F,72,20,40,60
50,Andrew Ladd,ATL,25,F,81,29,30,59
