Rk,Name,Team,Age,Pos,GP,G,A,P
1,Connor McDavid,EDM,20,F,82,41,67,108
2,Claude Giroux,PHI,29,F,82,34,68,102
3,Nikita Kucherov,TBL,24,F,80,39,61,100
4,Evgeni Malkin,PIT,31,F,78,42,56,98
5,Nathan MacKinnon,COL,22,F,74,39,58,97
6,Taylor Hall,NJD,26,F,76,39,54,93
7,Anze Kopitar,LAK,30,F,82,35,57,92
8,Phil Kessel,PIT,30,F,82,34,58,92
9,Blake Wheeler,WPG,31,F,81,23,68,91
10,Sidney Crosby,PIT,30,F,82,29,60,89
11,Alexander Ovechkin,WSH,32,F,82,49,38,87
12,Steven Stamkos,TBL,27,F,78,27,59,86
13,Brad Marchand,BOS,29,F,68,34,51,85
14,Mathew Barzal,NYI,20,F,82,22,63,85
15,Jakub Vor�cek,PHI,28,F,82,20,65,85
16,John Tavares,NYI,27,F,82,37,47,84
17,Mikko Rantanen,COL,21,F,81,29,55,84
18,Johnny Gaudreau,CGY,24,F,80,24,60,84
19,Evgeny Kuznetsov,WSH,25,F,79,27,56,83
20,Artemi Panarin,CBJ,26,F,81,27,55,82
21,David Pastrnak,BOS,21,F,82,35,45,80
22,Jamie Benn,DAL,28,F,82,36,43,79
23,William Karlsson,VGK,24,F,82,43,35,78
24,Tyler Seguin,DAL,25,F,82,40,38,78
25,Aleksander Barkov,FLA,22,F,79,27,51,78
26,Eric Staal,MIN,33,F,82,42,34,76
27,Sean Couturier,PHI,25,F,82,31,45,76
28,Patrick Kane,CHI,29,F,82,27,49,76
29,Vincent Trocheck,FLA,24,F,82,31,44,75
30,Jonathan Marchessault,VGK,27,F,77,27,48,75
31,Alexander Radulov,DAL,31,F,82,27,45,72
32,Nicklas B�ckstr�m,WSH,30,F,81,21,50,71
33,Joshua Bailey,NYI,28,F,76,18,53,71
34,Patrik Laine,WPG,19,F,82,44,26,70
35,Brayden Schenn,STL,26,F,82,28,42,70
36,Leon Draisaitl,EDM,22,F,78,25,45,70
37,Rickard Rakell,ANA,24,F,77,34,35,69
38,Jonathan Huberdeau,FLA,24,F,82,27,42,69
39,Mitchell Marner,TOR,20,F,82,22,47,69
40,John Carlson,WSH,27,D,82,15,53,68
41,Mikael Granlund,MIN,25,F,77,21,46,67
42,Brent Burns,SJS,32,D,82,12,55,67
43,John Klingberg,DAL,25,D,82,8,59,67
44,Vladimir Tarasenko,STL,26,F,80,33,33,66
45,Brayden Point,TBL,21,F,82,32,34,66
46,Joe Pavelski,SJS,33,F,82,22,44,66
47,David Perron,VGK,29,F,70,16,50,66
48,Sebastian Aho,CAR,20,F,78,29,36,65
49,Evgeny Dadonov,FLA,28,F,74,28,37,65
50,Clayton Keller,ARI,19,F,82,23,42,65
